id,imdb_id,title_orig,title_pt,year,country,director,duration,genres,poster_path,overview,era,streaming,streaming_checked_at
797,tt0060827,Persona,Quando Duas Mulheres Pecam,1966,Suécia,Ingmar Bergman,85,Drama,/pMlIFOHnNDa3X0kSpjASn75KAYd.jpg,"Uma atriz teatral de sucesso sofre uma crise emocional e para de falar. Uma enfermeira é designada a cuidar dela em uma casa reclusa, perto da praia, onde as duas permanecem sozinhas. Para quebrar o silêncio, a enfermeira começa a falar incessantemente, narrando diversos episódios relevantes de sua vida, mas quando descobre que a atriz usa seus depoimentos como fonte de análise, a cumplicidade entre as duas se transforma em embate.",XX,Arte;Artiflix;MUBI;Oldflix,2026-07-31
8416,tt0065571,Il conformista,O Conformista,1971,Alemanha / França / Itália,Bernardo Bertolucci,114,Drama,/hkO6QSYE22vJ3uxLjvET2oA6Kt1.jpg,"Um italiano é atraído para o partido fascista quando é instruído a assassinar seu antigo professor universitário, um antifascista vocal exilado na França durante os anos 30. Baseado no romance homônimo de 1951, de Alberto Moravia.",XX,Oldflix,2026-07-31
2000,tt0068182,"Aguirre, der Zorn Gottes","Aguirre, a Cólera dos Deuses",1972,Alemanha / México / Peru,Werner Herzog,94,História;Aventura;Drama,/bHw8nN9vKn88kqgUsvZrMIiymof.jpg,"Em 1561 o conquistador espanhol Gonzalo Pizarro parte em uma expedição pelos Andes buscando a lendária cidade de El Dorado, uma lenda contada aos espanhóis pelos índios. Uma expedição de dezenas de pessoas cruzou as montanhas do Peru, e percebendo o cansaço dos soldados e escravos, Pizarro designou um pequeno grupo para explorar a região, nomeando dois nobres como líderes. Conforme buscam El Dorado, a ambição começa a crescer em Lope de Aguirre, que trai o companheiro e toma o controle do grupo para si. Em meio às intrigas, nenhum deles contava que a natureza seria o seu inimigo mais poderoso.",XX,,2026-07-31
37550,tt0075040,Pasqualino Settebellezze,Pasqualino Sete Belezas,1975,Itália,Lina Wertmüller,115,Comédia;Drama;Guerra,/pvEflI1sPqeMCZOtdVIIdnVsuhB.jpg,"Pasqualino, um homem comum italiano, abandona o exército durante a Segunda Guerra Mundial. Os Alemães o capturam e mandam para um campo de prisioneiros, onde ele faz qualquer coisa para sobreviver. Em longos flashbacks, vemos ele e sua família de sete irmãs sem atrativos (as sete belezas), seu assassinato acidental do amante de uma irmã, sua confissão e prisão, sua entrada calculada para um asilo, o estupro de uma paciente, e seu trabalho voluntário para ser um soldado e escapar do confinamento. Para desgosto de seu obeso captor alemão, seu caráter fraco e covarde lhe permite sobreviver à guerra e voltar para Nápoles, onde ele tem um plano para sobreviver a próxima catástrofe mundial. A defesa da honra, um forte valor na sociedade napolitana, e seus efeitos sobre a vida do homem comum Pasquale Frafuso.",XX,,2026-07-31
144,tt0093191,Der Himmel über Berlin,Asas do Desejo,1987,Alemanha / França,Wim Wenders,127,Drama;Fantasia;Romance,/AOVUasq9kPPNiHlAL0KJVQ7TWb.jpg,Um anjo que observa a cidade dividida de Berlim deseja se tornar um humano mortal quando se apaixona por uma bela trapezista francesa.,XX,Looke,2026-07-31
4203,tt0095675,Mujeres al borde de un ataque de nervios,Mulheres à Beira de um Ataque de Nervos,1988,Espanha,Pedro Almodóvar,89,Comédia;Drama,/jgRsg61C5ims0MtViSqesNNLaff.jpg,"Iván terminou com a namorada Pepa, uma atriz de novela, mas ela precisa encontrá-lo para dizer algo importante. Sua vida logo é invadida por uma série de distrações: sua amiga Candela pode ter se envolvido numa conspiração terrorista, e o filho de Iván acaba visitando o apartamento de Pepa.",XX,Belas Artes à La Carte;Filmelier Plus,2026-07-31
10835,tt0097202,喋血雙雄,O Matador,1989,Hong Kong,John Woo,111,Ação;Crime;Drama;Thriller,/2y5LwcvZGqgHpXLUxvs2Nj0BevE.jpg,"O assassino Jong aceita um último trabalho para juntar a quantia que falta para o pagamento da cirurgia oftalmológica de sua namorada Jennie, que ele cegou acidentalmente em uma missão. Traído por seu contratante, ele acaba tendo de juntar forças com o inspetor Li Ying, que foi designado para prendê-lo. Nasce aí uma sangrenta parceria.",XX,Looke,2026-07-31
901,tt0021749,City Lights,Luzes da Cidade,1931,EUA,Charlie Chaplin,87,Comédia;Drama;Romance,/s0T1MpsDcQCmqOTJ47zASE1PevI.jpg,"Um vagabundo amável se apaixona por uma mulher cega que vende flores nas ruas e o confunde com um milionário. Ao descobrir que ela e a avó serão despejadas, o vagabundo faz uma série de tentativas para lhes proporcionar o dinheiro de que precisam, mas todas terminam em um fracasso humilhante.",XX,Belas Artes à La Carte;Telecine,2026-07-31
10784,tt0068327,Cabaret,Cabaret,1972,Alemanha / EUA,Bob Fosse,124,Música;Romance;Drama,/gReWjFxfJzHtzufSld5GehFiUo2.jpg,"Berlim no início da década de 30. O nazismo fazia sua ascensão meteórica, mas a grande maioria das pessoas ainda não tinha noção do terrível poder que aquela força política se transformaria. Sally Bowles (Liza Minnelli), uma jovem americana que canta em um cabaré e sonha em ser tornar uma estrela, se apaixona por Brian Roberts (Michael York), que é bissexual. Ambos se envolvem com Maximillian von Heune (Helmut Griem), um rico e nobre alemão. Quando Sally fica grávida, Brian diz que quer casar e declara não se importar de quem seja o filho. Mas o futuro lhes reserva outro destino.",XX,Claro tv+,2026-07-31
11450,tt0110932,Quiz Show,Quiz Show: A Verdade dos Bastidores,1994,EUA,Robert Redford,133,História;Drama,/nx51HJyLaVAY5dk0IPIoL2v242P.jpg,"Programa de perguntas e respostas na TV, nos anos 1950, é investigado e se descobre que, visando a audiência, produtores passam a dar as respostas a um jovem de família rica, que passa a ganhar de um rapaz judeu muito mais inteligente.",XX,Disney Plus,2026-07-31
