film_id,source,rank
44012,SIS,1
426,SIS,2
15,SIS,3
18148,SIS,4
843,SIS,5
62,SIS,6
14626,SIS,7
1018,SIS,8
26317,SIS,9
872,SIS,10
631,SIS,11
238,SIS,12
776,SIS,13
499,SIS,14
3114,SIS,15
27040,SIS,16
30017,SIS,17
797,SIS,18
28,SIS,19
346,SIS,20
20530,SIS,21
780,SIS,22
10227,SIS,23
925,SIS,24
20108,SIS,25
3112,SIS,26
42044,SIS,27
46919,SIS,28
103,SIS,29
531428,SIS,30
422,SIS,31
592733,SIS,32
539,SIS,33
43904,SIS,34
5801,SIS,35
901,SIS,36
832,SIS,37
567,SIS,38
239,SIS,39
269,SIS,40
5156,SIS,41
548,SIS,42
27432,SIS,43
1398,SIS,44
3175,SIS,45
213,SIS,46
17295,SIS,47
48035,SIS,48
80560,SIS,49
147,SIS,50
713,SIS,51
216,SIS,52
86814,SIS,53
643,SIS,54
78,SIS,55
266,SIS,56
992,SIS,57
284,SIS,58
1563,SIS,59
68427,SIS,60
439,SIS,61
376867,SIS,62
289,SIS,63
769,SIS,64
1092,SIS,65
77771,SIS,66
895,SIS,67
662,SIS,68
19,SIS,69
44379,SIS,70
19542,SIS,71
2748,SIS,72
5165,SIS,73
8392,SIS,74
34148,SIS,75
20532,SIS,76
129,SIS,77
15804,SIS,78
28162,SIS,79
27019,SIS,80
97035,SIS,81
3082,SIS,82
599,SIS,83
31414,SIS,84
793,SIS,85
2786,SIS,86
4495,SIS,87
11104,SIS,88
694,SIS,89
27030,SIS,90
1309516,SIS,91
1040,SIS,92
14696,SIS,93
256088,SIS,94
15244,SIS,95
95597,SIS,96
419430,SIS,97
335,SIS,98
961,SIS,99
11534,SIS,100
